"Series","RMSE_MAR","RMSE_VAR","RMSE_ratio"
"IL_MFG",8.4357,7.8981,1.0681
"IL_CONS",14.4164,13.4112,1.075
"IL_RET",24.2896,24.4642,0.9929
"IL_GOVT",13.98,13.7934,1.0135
"IL_FIRE",5.0758,5.3456,0.9495
"OH_MFG",3.5849,4.9747,0.7206
"OH_CONS",4.7321,5.8009,0.8158
"OH_RET",8.8617,11.1655,0.7937
"OH_GOVT",2.4802,3.0185,0.8217
"OH_FIRE",1.2198,1.401,0.8707
"MI_MFG",9.8436,10.9628,0.8979
"MI_CONS",10.0037,10.5699,0.9464
"MI_RET",11.5782,12.4249,0.9319
"MI_GOVT",5.363,5.9494,0.9014
"MI_FIRE",3.2294,3.6953,0.8739
"IN_MFG",7.073,7.2494,0.9757
"IN_CONS",4.3131,4.3494,0.9917
"IN_RET",4.9364,4.8238,1.0233
"IN_GOVT",4.195,4.7313,0.8867
"IN_FIRE",2.069,2.1027,0.984
"KY_MFG",1.3521,1.7105,0.7905
"KY_CONS",1.2379,1.6781,0.7377
"KY_RET",1.5959,1.7898,0.8917
"KY_GOVT",0.6553,0.5723,1.1451
"KY_FIRE",0.5019,0.6177,0.8125
