"Series","RMSE_MAR2","RMSE_VAR1","RMSE_ratio"
"IL_MFG",8.8918,7.8981,1.1258
"OH_MFG",16.2339,13.4112,1.2105
"MI_MFG",26.4582,24.4642,1.0815
"IN_MFG",15.549,13.7934,1.1273
"KY_MFG",6.0374,5.3456,1.1294
"IL_CONS",3.9006,4.9747,0.7841
"OH_CONS",5.047,5.8009,0.87
"MI_CONS",9.013,11.1655,0.8072
"IN_CONS",2.8325,3.0185,0.9384
"KY_CONS",1.3744,1.401,0.981
"IL_RET",10.3536,10.9628,0.9444
"OH_RET",11.5488,10.5699,1.0926
"MI_RET",12.8154,12.4249,1.0314
"IN_RET",6.0353,5.9494,1.0144
"KY_RET",3.6113,3.6953,0.9773
"IL_GOVT",7.1008,7.2494,0.9795
"OH_GOVT",4.4561,4.3494,1.0246
"MI_GOVT",5.0839,4.8238,1.0539
"IN_GOVT",4.319,4.7313,0.9129
"KY_GOVT",2.0884,2.1027,0.9932
"IL_FIRE",1.367,1.7105,0.7992
"OH_FIRE",1.3153,1.6781,0.7838
"MI_FIRE",1.6794,1.7898,0.9383
"IN_FIRE",0.7131,0.5723,1.2461
"KY_FIRE",0.5421,0.6177,0.8775
