"Series","RMSE_MAR1","RMSE_MAR2","RMSE_VAR1","Ratio_MAR1","Ratio_MAR2"
"IL_MFG",8.4357,8.8918,7.8981,1.0681,1.1258
"OH_MFG",14.4164,16.2339,13.4112,1.075,1.2105
"MI_MFG",24.2896,26.4582,24.4642,0.9929,1.0815
"IN_MFG",13.98,15.549,13.7934,1.0135,1.1273
"KY_MFG",5.0758,6.0374,5.3456,0.9495,1.1294
"IL_CONS",3.5849,3.9006,4.9747,0.7206,0.7841
"OH_CONS",4.7321,5.047,5.8009,0.8158,0.87
"MI_CONS",8.8617,9.013,11.1655,0.7937,0.8072
"IN_CONS",2.4802,2.8325,3.0185,0.8217,0.9384
"KY_CONS",1.2198,1.3744,1.401,0.8707,0.981
"IL_RET",9.8436,10.3536,10.9628,0.8979,0.9444
"OH_RET",10.0037,11.5488,10.5699,0.9464,1.0926
"MI_RET",11.5782,12.8154,12.4249,0.9319,1.0314
"IN_RET",5.363,6.0353,5.9494,0.9014,1.0144
"KY_RET",3.2294,3.6113,3.6953,0.8739,0.9773
"IL_GOVT",7.073,7.1008,7.2494,0.9757,0.9795
"OH_GOVT",4.3131,4.4561,4.3494,0.9917,1.0246
"MI_GOVT",4.9364,5.0839,4.8238,1.0233,1.0539
"IN_GOVT",4.195,4.319,4.7313,0.8867,0.9129
"KY_GOVT",2.069,2.0884,2.1027,0.984,0.9932
"IL_FIRE",1.3521,1.367,1.7105,0.7905,0.7992
"OH_FIRE",1.2379,1.3153,1.6781,0.7377,0.7838
"MI_FIRE",1.5959,1.6794,1.7898,0.8917,0.9383
"IN_FIRE",0.6553,0.7131,0.5723,1.1451,1.2461
"KY_FIRE",0.5019,0.5421,0.6177,0.8125,0.8775
